environment,scenario,session,device,sub_path,raw_file,raw_relative_path,extracted_csv_relative_path,has_extracted_csv,label_status,label_source,notes
new_building,dy_L_15,2025.07.29.18.27_新主楼,Google_Pixel_Watch2,,log_mimir_20250729182747.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/Google_Pixel_Watch2/log_mimir_20250729182747.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/Google_Pixel_Watch2/log_mimir_20250729182747.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.27_新主楼,HUAWEI_Mate40,,gnss_log_2025_07_29_18_27_04.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_18_27_04.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_18_27_04.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.27_新主楼,XiaoMi_MI8,,gnss_log_2025_07_29_18_27_07.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_27_07.txt,new_building/dy_L_15/2025.07.29.18.27_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_27_07.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.33_新主楼,Google_Pixel_Watch1,,log_mimir_20250729183400.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/Google_Pixel_Watch1/log_mimir_20250729183400.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/Google_Pixel_Watch1/log_mimir_20250729183400.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.33_新主楼,Google_Pixel_Watch2,,log_mimir_20250729183404.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/Google_Pixel_Watch2/log_mimir_20250729183404.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/Google_Pixel_Watch2/log_mimir_20250729183404.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.33_新主楼,HUAWEI_Mate40,,gnss_log_2025_07_29_18_33_45.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_18_33_45.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_18_33_45.csv,yes,reviewed,session_config,
new_building,dy_L_15,2025.07.29.18.33_新主楼,XiaoMi_MI8,,gnss_log_2025_07_29_18_33_44.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_33_44.txt,new_building/dy_L_15/2025.07.29.18.33_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_33_44.csv,yes,reviewed,session_config,
new_building,st_L1,2025.07.29.19.22_新主楼,Google_Pixel_Watch1,,log_mimir_20250729192223.txt,new_building/st_L1/2025.07.29.19.22_新主楼/Google_Pixel_Watch1/log_mimir_20250729192223.txt,new_building/st_L1/2025.07.29.19.22_新主楼/Google_Pixel_Watch1/log_mimir_20250729192223.csv,yes,reviewed,session_config,
new_building,st_L1,2025.07.29.19.22_新主楼,Google_Pixel_Watch2,,log_mimir_20250729192227.txt,new_building/st_L1/2025.07.29.19.22_新主楼/Google_Pixel_Watch2/log_mimir_20250729192227.txt,new_building/st_L1/2025.07.29.19.22_新主楼/Google_Pixel_Watch2/log_mimir_20250729192227.csv,yes,reviewed,session_config,
new_building,st_L1,2025.07.29.19.22_新主楼,HUAWEI_Mate40,,gnss_log_2025_07_29_19_22_13.txt,new_building/st_L1/2025.07.29.19.22_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_19_22_13.txt,new_building/st_L1/2025.07.29.19.22_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_19_22_13.csv,yes,reviewed,session_config,
new_building,st_L1,2025.07.29.19.22_新主楼,XiaoMi_MI8,,gnss_log_2025_07_29_19_22_13.txt,new_building/st_L1/2025.07.29.19.22_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_19_22_13.txt,new_building/st_L1/2025.07.29.19.22_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_19_22_13.csv,yes,reviewed,session_config,
new_building,st_L5,2025.07.29.20.16_新主楼,Google_Pixel_Watch1,,log_mimir_20250729201642.txt,new_building/st_L5/2025.07.29.20.16_新主楼/Google_Pixel_Watch1/log_mimir_20250729201642.txt,new_building/st_L5/2025.07.29.20.16_新主楼/Google_Pixel_Watch1/log_mimir_20250729201642.csv,yes,reviewed,session_config,
new_building,st_L5,2025.07.29.20.16_新主楼,Google_Pixel_Watch2,,log_mimir_20250729201646.txt,new_building/st_L5/2025.07.29.20.16_新主楼/Google_Pixel_Watch2/log_mimir_20250729201646.txt,new_building/st_L5/2025.07.29.20.16_新主楼/Google_Pixel_Watch2/log_mimir_20250729201646.csv,yes,reviewed,session_config,
